system,seed,cpu_mode,cpu_affinity_core,selected_checkpoint_source,selected_episode,selected_success_rate,selected_override_rate,selected_safety_violation_rate,final_checkpoint_safe,train_seconds,training_peak_rss_mb,eval_success_rate,eval_override_rate,eval_safety_violation_rate,test_success_rate,test_override_rate,test_safety_violation_rate,test_mean_episode_steps,test_n_steps,policy_us_mean,policy_us_p99,shield_us_mean,shield_us_p99,total_us_mean,total_us_p99
mixing,61,aggressive,,safe_eval,200,1.0,0.02309538092381524,0.0,True,281.7829246520996,97.0625,1.0,0.027919543680576402,0.0,1.0,0.027795425667090215,0.0,31.48,6296,28.157147554002538,48.091,7.914734116899618,29.696500000000004,40.68744917407878,69.12450000000001
mixing,62,aggressive,,safe_eval,100,1.0,0.10724722384570427,0.0,True,127.07486367225647,95.63671875,1.0,0.10152284263959391,0.0,1.0,0.11581608468952441,0.0,31.645,6329,64.24313367040607,97.40312000000006,21.422255174593143,76.15320000000003,97.35988118186128,183.8249600000003
mixing,63,aggressive,,safe_eval,100,1.0,0.16975748930099857,0.0,True,136.16517305374146,96.65234375,1.0,0.14959202175883954,0.0,1.0,0.16112492231199502,0.0,32.18,6436,34.641735394655065,58.4165,13.760214885021755,59.659499999999994,54.2242375699192,116.353
mixing,64,aggressive,,safe_eval,100,1.0,0.05893909626719057,0.0,True,131.1991925239563,96.32421875,1.0,0.05642897248736665,0.0,1.0,0.07296633434474786,0.0,34.605,6921,53.453957665077304,83.47,15.109567692529982,66.037,78.03862129750037,147.52580000000006
mixing,65,aggressive,,safe_eval,100,1.0,0.01951951951951952,0.0,True,282.1489608287811,96.77734375,1.0,0.024299065420560748,0.0,1.0,0.020764369545591334,0.0,33.23,6646,28.16787255492025,47.246050000000004,7.857318236533254,36.0735,40.57021682214866,71.21555
mixing,66,aggressive,,safe_eval,100,1.0,0.21557426337943475,0.0,True,134.06509613990784,96.59375,1.0,0.19548872180451127,0.0,1.0,0.19635472507275234,0.0,32.645,6529,40.78696783580947,68.89112000000002,16.734406647266045,64.34440000000004,64.32406049931076,127.60772000000001
mixing,67,aggressive,,safe_eval,100,1.0,0.0992409333708181,0.0,True,135.12491416931152,95.5703125,1.0,0.12305854241338113,0.0,1.0,0.12005627637955292,0.0,31.985,6397,53.098523839299666,81.4152,16.4899873378146,66.95736,79.08974738158511,144.98844
mixing,68,aggressive,,safe_eval,100,1.0,0.08844822159269751,0.0,True,127.6256775856018,96.55859375,1.0,0.08226527570789866,0.0,1.0,0.07567164179104478,0.0,33.5,6700,61.73489731343284,91.11450000000004,17.976066268656716,72.23181000000011,90.94950522388059,165.56590000000003
mixing,69,aggressive,,safe_eval,100,1.0,0.09967368733313557,0.0,True,131.04611372947693,96.32421875,1.0,0.10445757250268528,0.0,1.0,0.11626478267547227,0.0,32.555,6511,51.88332775303333,84.28899999999982,15.979168637690066,65.254,77.26057994163723,145.9938999999999
mixing,70,aggressive,,safe_eval,100,1.0,0.20452567449956485,0.0,True,135.30727410316467,96.171875,1.0,0.1993939393939394,0.0,1.0,0.20426504188880426,0.0,32.825,6565,51.305583092155366,80.54739999999998,20.40112185833968,69.51159999999996,80.86277486671743,155.81695999999997
mixing,71,aggressive,,safe_eval,100,1.0,0.21264028352037803,0.0,True,138.59648966789246,97.24609375,1.0,0.22693831352574986,0.0,1.0,0.2205113716626642,0.0,35.395,7079,30.96648114140415,55.650400000000005,14.173309083203844,46.582000000000036,50.27412176861138,105.44142
