system,seed,cpu_mode,cpu_affinity_core,episodes,total_steps,success_rate,safety_violation_rate,override_rate,final_checkpoint_safe,policy_us_mean,policy_us_p95,policy_us_p99,shield_us_mean,shield_us_p95,shield_us_p99,total_us_mean,total_us_p95,total_us_p99,inference_peak_rss_mb,eval_seconds,test_seconds
mixing,57,aggressive,,200,6735,1.0,0.0,0.16139569413511506,True,61.91638218262807,81.905,87.8124,20.16076629547142,64.04469999999999,70.3296,93.46254788418709,143.4973,166.96499999999997,79.27734375,2.0923514366149902,4.084585189819336
mixing,58,aggressive,,200,6600,1.0,0.0,0.1365151515151515,True,53.1917246969697,77.89849999999998,84.28070000000001,17.520478484848486,61.388499999999965,68.43029000000001,80.35405954545453,129.06794999999997,156.787,79.734375,2.5383167266845703,3.497452974319458
mixing,59,aggressive,,200,6926,1.0,0.0,0.01963615362402541,True,54.715118971989604,79.9595,86.32325,13.010749494657812,15.7775,61.87175,77.50428515737799,111.396,133.84300000000002,78.87890625,2.2307088375091553,3.722583770751953
mixing,60,aggressive,,200,6476,1.0,0.0,0.12168004941321804,True,55.34779586164299,78.73475,84.7735,17.180432674490426,53.649499999999996,68.18424999999999,82.54188187152563,126.07325,156.4445,79.84375,2.20922589302063,3.5653650760650635
mixing,61,aggressive,,200,6296,1.0,0.0,0.027795425667090215,True,55.62831416772555,79.741,87.07250000000002,13.25888373570521,16.280250000000002,51.51850000000001,78.76819170902161,111.4935,131.93350000000004,78.81640625,2.2896714210510254,3.436180353164673
mixing,62,aggressive,,200,6329,1.0,0.0,0.11581608468952441,True,54.92289571812293,79.14,85.77672000000005,17.453632801390427,60.72759999999999,69.81712,82.380606888924,129.49299999999997,160.78320000000002,79.63671875,2.3198022842407227,3.4695444107055664
mixing,63,aggressive,,200,6436,1.0,0.0,0.16112492231199502,True,55.083464885021755,79.50775,85.38499999999999,18.909586233685516,62.3305,68.613,83.89128231821006,133.5605,159.71364999999994,79.6171875,2.3123908042907715,3.4880692958831787
mixing,64,aggressive,,200,6921,1.0,0.0,0.07296633434474786,True,53.37850599624332,77.437,84.953,14.779945094639503,41.569,66.47100000000002,77.72056754804218,114.527,149.092,79.4921875,2.4248392581939697,3.5963659286499023
mixing,65,aggressive,,200,6646,1.0,0.0,0.020764369545591334,True,55.70549127294613,79.05250000000001,86.21395000000003,13.447590279867589,16.15775,62.6945,79.5226105928378,110.85,138.05895,79.17578125,2.2041523456573486,3.604262113571167
mixing,66,aggressive,,200,6529,1.0,0.0,0.19635472507275234,True,52.95671052228519,77.4686,83.73592000000001,19.518504365140142,63.6006,69.16700000000002,82.02820232807476,136.1136,158.52200000000002,78.84765625,2.4961097240448,3.437839984893799
